"Gene","GS","GS_p","MM","MM_p"
"FRMD4B",-0.571318329176443,2.42558683781183e-35,-0.749910213025181,5.58531948630993e-72
"ANKRD12",-0.579605713648098,1.48219784737408e-36,-0.778698384711344,5.70148868228031e-81
"POMP",0.553820472810063,6.88389627617049e-33,0.714927201582851,1.39669145448032e-62
"RNASEH2B",0.585037873446157,2.27102584276865e-37,0.748723073999839,1.23397380310826e-71
"PPP2CB",-0.601291904143248,6.67718910789619e-40,-0.725226041038621,3.38743040151008e-65
"MIER1",-0.699954722661474,5.57985265432324e-59,-0.838511769579385,6.92747825969263e-105
"SLC6A6",0.708293409850864,5.87516729181783e-61,0.851881523017202,1.34495421395218e-111
"NPEPL1",0.48747688578106,8.64188772296514e-25,0.711245473595702,1.12733076019135e-61
"RTKN",0.552415205358338,1.06807784229233e-32,0.780214249369902,1.75876696987498e-81
"CSNK2A2",0.647799772179557,5.17027266546485e-48,0.821351037631425,4.05441456446242e-97
